words,word_counts,word_frequency
之,49,0.007658643326039387
而,44,0.006877149109096593
製,43,0.006720850265708034
有,39,0.006095654892153798
爲,35,0.005470459518599562
也,31,0.004845264145045327
水磨,30,0.004688965301656768
為,28,0.00437636761487965
亦,27,0.004220068771491091
痕都,23,0.003594873397936855
是,22,0.0034385745545482964
其,22,0.0034385745545482964
於,22,0.0034385745545482964
痕都斯坦,21,0.0032822757111597373
玉,21,0.0032822757111597373
與,20,0.0031259768677711786
椀,20,0.0031259768677711786
去聲,19,0.0029696780243826195
和,19,0.0029696780243826195
臣,18,0.002813379180994061
不,18,0.002813379180994061
以,18,0.002813379180994061
御製,16,0.0025007814942169426
一,16,0.0025007814942169426
無,15,0.002344482650828384
中,15,0.002344482650828384
如,15,0.002344482650828384
向,15,0.002344482650828384
闐,14,0.002188183807439825
者,14,0.002188183807439825
所,13,0.002031884964051266
印度,13,0.002031884964051266
出,13,0.002031884964051266
回部,13,0.002031884964051266
又,13,0.002031884964051266
呈,12,0.001875586120662707
瓣,12,0.001875586120662707
即,12,0.001875586120662707
詠,12,0.001875586120662707
至,12,0.001875586120662707
却,12,0.001875586120662707
崑崙,12,0.001875586120662707
耳,11,0.0017192872772741482
天竺,11,0.0017192872772741482
在,11,0.0017192872772741482
序,11,0.0017192872772741482
若,11,0.0017192872772741482
玉工,11,0.0017192872772741482
乃,10,0.0015629884338855893
葉爾羌,10,0.0015629884338855893
復,10,0.0015629884338855893
事,10,0.0015629884338855893
曾,10,0.0015629884338855893
得,10,0.0015629884338855893
此,10,0.0015629884338855893
司,10,0.0015629884338855893
用,10,0.0015629884338855893
承,9,0.0014066895904970304
趺,9,0.0014066895904970304
楮,9,0.0014066895904970304
葉,9,0.0014066895904970304
矣,9,0.0014066895904970304
非,9,0.0014066895904970304
詎,9,0.0014066895904970304
盂,9,0.0014066895904970304
皆,9,0.0014066895904970304
翻,9,0.0014066895904970304
巧,9,0.0014066895904970304
都,8,0.0012503907471084713
嗎,8,0.0012503907471084713
彼,8,0.0012503907471084713
朶,8,0.0012503907471084713
畧,8,0.0012503907471084713
玉盤,8,0.0012503907471084713
及,8,0.0012503907471084713
旣,8,0.0012503907471084713
厚,8,0.0012503907471084713
天方,8,0.0012503907471084713
花葉,8,0.0012503907471084713
回,7,0.0010940919037199124
各,7,0.0010940919037199124
來,7,0.0010940919037199124
萬里,7,0.0010940919037199124
連城,7,0.0010940919037199124
喀,7,0.0010940919037199124
專諸巷,7,0.0010940919037199124
寶,7,0.0010940919037199124
彫,7,0.0010940919037199124
奇,7,0.0010940919037199124
盤,7,0.0010940919037199124
式,7,0.0010940919037199124
彼處,7,0.0010940919037199124
貯,7,0.0010940919037199124
賜,7,0.0010940919037199124
精巧,7,0.0010940919037199124
月,7,0.0010940919037199124
我,7,0.0010940919037199124
新,7,0.0010940919037199124
鼂,7,0.0010940919037199124
更,7,0.0010940919037199124
伯克,6,0.0009377930603313535
大白,6,0.0009377930603313535
見,6,0.0009377930603313535
撫,6,0.0009377930603313535
琢,6,0.0009377930603313535
水,6,0.0009377930603313535
中國,6,0.0009377930603313535
仍,6,0.0009377930603313535
今,6,0.0009377930603313535
弗,6,0.0009377930603313535
拔達克山,6,0.0009377930603313535
伊犁,6,0.0009377930603313535
宜,6,0.0009377930603313535
痕,6,0.0009377930603313535
那,6,0.0009377930603313535
花開,6,0.0009377930603313535
茶,6,0.0009377930603313535
上,6,0.0009377930603313535
未,6,0.0009377930603313535
精,6,0.0009377930603313535
可,6,0.0009377930603313535
近,6,0.0009377930603313535
磨,6,0.0009377930603313535
古,6,0.0009377930603313535
葱嶺,6,0.0009377930603313535
四照,6,0.0009377930603313535
獻,5,0.0007814942169427947
巧匠,5,0.0007814942169427947
言,5,0.0007814942169427947
蘇州,5,0.0007814942169427947
花,5,0.0007814942169427947
厄訥特珂克,5,0.0007814942169427947
北印度,5,0.0007814942169427947
曰,5,0.0007814942169427947
歲,5,0.0007814942169427947
吾,5,0.0007814942169427947
于闐,5,0.0007814942169427947
雖,5,0.0007814942169427947
比,5,0.0007814942169427947
內地,5,0.0007814942169427947
鐫,5,0.0007814942169427947
璧,5,0.0007814942169427947
瑕,5,0.0007814942169427947
人,5,0.0007814942169427947
同,5,0.0007814942169427947
珍,5,0.0007814942169427947
藉,5,0.0007814942169427947
三,5,0.0007814942169427947
截肪,5,0.0007814942169427947
不留,5,0.0007814942169427947
圓,5,0.0007814942169427947
慙,5,0.0007814942169427947
西藏,5,0.0007814942169427947
初,5,0.0007814942169427947
盈尺,5,0.0007814942169427947
如紙,5,0.0007814942169427947
詩,5,0.0007814942169427947
遠,5,0.0007814942169427947
等,5,0.0007814942169427947
蓋,5,0.0007814942169427947
西南,5,0.0007814942169427947
飲,5,0.0007814942169427947
器,5,0.0007814942169427947
大國,5,0.0007814942169427947
守,5,0.0007814942169427947
垂,4,0.0006251953735542357
竒,4,0.0006251953735542357
製出,4,0.0006251953735542357
三品,4,0.0006251953735542357
右,4,0.0006251953735542357
稱,4,0.0006251953735542357
致,4,0.0006251953735542357
回人,4,0.0006251953735542357
工巧,4,0.0006251953735542357
輸誠,4,0.0006251953735542357
工省,4,0.0006251953735542357
多,4,0.0006251953735542357
無瑕,4,0.0006251953735542357
焉,4,0.0006251953735542357
精琢,4,0.0006251953735542357
陳,4,0.0006251953735542357
暎,4,0.0006251953735542357
車磲,4,0.0006251953735542357
走,4,0.0006251953735542357
自,4,0.0006251953735542357
內,4,0.0006251953735542357
玉器,4,0.0006251953735542357
異物,4,0.0006251953735542357
遣使,4,0.0006251953735542357
羊脂,4,0.0006251953735542357
唇,4,0.0006251953735542357
瓢,4,0.0006251953735542357
遠域,4,0.0006251953735542357
聲,4,0.0006251953735542357
璞,4,0.0006251953735542357
